source,target,tgt_lng
Two-Colored Lighting,双色照明,
Claude 4,Claude 4,
bar chart,柱状图,
last 50 years,过去50年,
Figure 8.3,图8.3,
Photographs,照片,
Interactive Programs,交互式程序,
Flappy Bird,Flappy Bird,
browser,浏览器,
one-shot wonders,一次性奇迹,
WWII,二战,
flight simulator,飞行模拟器,
Gemini 2.5,Gemini 2.5,
training data,训练数据,
one-shot prompting,一次性提示,
game,游戏,
outputs,输出,
visual interpreter,视觉解释器,
follow-up prompts,后续提示,
playable,可玩性,
clouds,云,
engineering problems,工程问题,
chatbot environments,聊天机器人环境,
implementation details,实现细节,
conceptual direction,概念方向,
creative decisions,创意决策,
one-prompt development,单提示开发,
upcoming chapters,即将到来的章节,
real engineering work,实际工程工作,
new task,新任务,
edge cases,边缘情况,
robust,健壮的,
test plan,测试计划,
changelog,变更日志,
URL,URL,
questions,问题,
frustrated,沮丧的,
bored,无聊的,
environment,环境,
laptop,笔记本电脑,
modern development,现代开发,
flow state,心流状态,
group learning sessions,小组学习会议,
DeepSeek Chat,DeepSeek Chat,
voice control,语音控制,
Enterprise Tech Leadership Slack channel,企业技术领导Slack频道,
vibe coding community,氛围编码社区,
#vibe-coding,#vibe-coding,
quadratic equations,二次方程,
UNDERSTANDING YOUR KITCHEN AND AI COLLABORATORS,理解您的厨房和AI协作者,
real engineering problems,实际工程问题,
chat assistants,聊天助手,
master chef,大师级厨师,
paring knife,削皮刀,
heavy cleaver,重刀,
AI tool,AI工具,
effective prompting,有效提示,
AI helpers,AI助手,
development experience,开发体验,
video excerpting project,视频摘录项目,
visual UI debugging,视觉UI调试,
different levels of AI assistance,不同级别的AI辅助,
Frame your objective,确定目标,
specific,具体的,
success,成功,
building,构建,
Decompose the tasks,分解任务,
"clear, achievable steps",清晰、可实现的步骤,
smaller steps,小步骤,
chance,机会,
capable,有能力,
good,好的,
data structures,数据结构,
War Story,战争故事,
Gene’s Video Excerpter,Gene的视频摘要器,
YouTube videos,YouTube视频,
command-line options,命令行选项,
chat assistant,聊天助手,
highlights reel,精彩片段,
movie files,电影文件,
transcripts,脚本,
treasure trove,宝藏,
wisdom,智慧,
research material,研究材料,
miscellaneous topics,杂项主题,
Sourcegraph AI assistant,Sourcegraph AI 助手,
IntelliJ IDE,IntelliJ IDE,
prompt,提示,
transcript,字幕,
source video file,源视频文件,
ffmpeg command,ffmpeg 命令,
shell out,shell 命令,
output.mp4,output.mp4,
time unit conventions,时间单位约定,
JSON,JSON,
highlight,高亮,
start,开始,
end,结束,
ranges,范围,
entries,条目,
test cases,测试用例,
intersections,交集,
teachable moment,教学时刻,
off-by-one error,偏移量错误,
transcript file,转录文件,
video frames,视频帧,
SRT,SRT,
ASS,ASS,
function name,函数名,
session recording,会议录音,
YouTube,YouTube,
start/end time stamps,起始/结束时间戳,
podcast transcript,播客字幕文件,
SRT caption files,SRT字幕文件,
caption timing,字幕时间,
Unix command-line tools,Unix 命令行工具,
September 2024,2024年9月,
prehistoric AI,史前人工智能,
project,项目,
minutes,分钟,
Gene’s video excerpting program,Gene的视频摘录程序,
specifications,规范,
ChatGPT-4,ChatGPT-4,
iOS YouTube app,iOS YouTube应用,
YouTube screenshots,YouTube截图,
video player controls,视频播放器控件,
red progress bar,红色进度条,
timing information,时间信息,
Clojure function,Clojure函数,
Java 2D graphics libraries,Java 2D图形库,
Microso C++,Microsoft C++,
row,行,
playback percentage,播放百分比,
graphics APIs,图形API,
Onward,Onward,
Gene’s video excerpting tool,Gene的视频摘要工具,
complex task,复杂任务,
chat-based approach,基于聊天的方法,
prompts,提示,
"autonomous, agentic coding assistants",自主、有代理的编码助手,
security concerns,安全担忧,
developer loop,开发者循环,
"web-based, kanban-style list-making application",基于Web的看板式列表制作应用程序,
commands,命令,
curl,curl,
2011,2011,
Trello,Trello,
front ends,前端,
article URLs,文章URLs,
401,401,
HTTP errors,HTTP错误,
OAuth authorization header,OAuth授权头,
Clojure code,Clojure代码,
HTTP calls,HTTP调用,
OAuth,OAuth,
creative alternatives,创意替代方案,
unnecessary friction points,不必要的摩擦点,
development environment,开发环境,
MCP,MCP,
Model Context Protocol,模型上下文协议,
Steve’s Puppeteer Example,Steve的Puppeteer示例,
parallel breakthrough,平行突破,
visual front-end applications,视觉前端应用,
Node/React client,Node/React客户端,
TypeScript,TypeScript,
aging native clients,过时的本地客户端,
Sourcegraph coding agent,Sourcegraph编码代理,
VS Code,VS Code,
RPCs,远程过程调用,
client UI issues,客户端UI问题,
Puppeteer,Puppeteer,
JavaScript library,JavaScript库,
browser session,浏览器会话,
real-time,实时,
UI elements,用户界面元素,
client screens,客户端屏幕,
front-end client UI,前端客户端UI,
problems,问题,
feedback loop,反馈循环,
Puppeteering,Puppeteering,
connection issues,连接问题,
back-end game server,后端游戏服务器,
application states,应用程序状态,
kitchen tools,厨房工具,
Seeing Eye dog,导盲犬,
worker bee,工蜂,
Gene’s Trello API,Gene的Trello API,
terminal,终端,
MCP server,MCP服务器,
automation facilities,自动化设施,
high-quality code,高质量代码,
green field application,绿野应用,
test failures,测试失败,
use cases,用例,
go-to tools,常用工具,
industrial mixer,工业搅拌机,
whisk,打蛋器,
escape hatches,应急出口,
heavy machinery,重型机械,
high-level instructions,高级指令,
chat-based modality,基于聊天的模式,
downgrade,降级,
interface,接口,
typography,排版,
layouts,布局,
command line,命令行,
precision edger,精准修剪机,
utility knife,多用刀,
Dr.,博士,
The Future of Coding Agents,编码代理的未来,
test runner,测试执行器,
Claude Code agents,Claude Code 代理,
concentration,专注,
Supervisor agents,管理代理,
human cognitive load,人类认知负荷,
Agent meshes,代理网格,
scrappy chef,勇敢的厨师,
gourmet meal,美食,
interaction,交互,
AI collaborators,AI 协作者,
conversational problem-solving,对话式问题解决,
vibe coding sessions,氛围编码会话,
bulletproof prompt,万无一失的提示,
prompt engineering,提示工程,
traditional engineering discipline,传统工程学科,
iterative approach,迭代方法,
AI mistakes,AI错误,
Gene’s initial video editing prompts,Gene最初的视频编辑提示,
prompt engineers,提示工程师,
third draft,第三稿,
overall philosophy,整体理念,
chat,聊天,
text message conversation,短信对话,
legal brief,法律文件,
compile errors,编译错误,
runtime errors,运行时错误,
unexpected behavior,意外行为,
environment setup issues,环境设置问题,
chat session,聊天会话,
AI partner,AI伙伴,
course-correct,纠正方向,
build output,构建输出,
stack trace,堆栈跟踪,
actual versus expected output,实际与预期输出,
IDE issues,集成开发环境问题,
screenshot,屏幕截图,
logs,日志,
browser console,浏览器控制台,
terminal shell,终端外壳,
cryptic tooling,神秘的工具,
arcane parameters,神秘的参数,
30-second clip,30秒剪辑,
2:15,2:15,
audio,音频,
720p,720p,
database,数据库,
query,查询,
transactions,交易,
last quarter,上一季度,
amount,金额,
"$1,000","$1,000",
customer region,客户地区,
Git diffs,Git差异,
file,文件,
Git commit,Git提交,
Git investigation,Git调查,
surgery,手术,
Vague to Precise,从模糊到精确,
problem specification,问题规范,
tech leaders,技术领导者,
time zone consultant,时区顾问,
Unix epoch,Unix纪元,
datetime,datetime,
zoneinfo/pytz,zoneinfo/pytz,
epoch,纪元,
UTC,协调世界时,
utility functions,实用函数,
migration plan,迁移计划,
best practices,最佳实践,
first prompt,第一个提示,
messages,消息,
trust,信任,
clariﬁcations,澄清,
Prompt-craﬁng practice,提示构建练习,
error message,错误信息,
complex tool,复杂工具,
library,库,
NoSQL,NoSQL,
MySQL,MySQL,
Groovy,Groovy,
YAML,YAML,
GitHub Actions,GitHub Actions,
Vega-Lite,Vega-Lite,
Git repo,Git 仓库,
GitHub Branches,GitHub 分支,
iOS app,iOS 应用,
Swiﬁt,Swiﬁt,
Cambrian Explosion,寒武纪大爆发,
coding interfaces,编码接口,
Idan Gazit,Idan Gazit,
GitHub Next,GitHub Next,
chat interfaces,聊天界面,
agentic behaviors,代理行为,
Cambrian era,寒武纪时期,
coding phyla,编码门类,
podcast screenshots,播客截图,
manual task execution,手动任务执行,
conversational work flow,对话工作流程,
creative control,创意控制,
exponential productivity gains,指数级生产力提升,
vibe,节奏,
arcane tools,晦涩的工具,
agents,代理,
style,风格,
goals,目标,
mise en place,备料,
context saturation,上下文饱和,
clipboard manager,剪贴板管理器,
Alfred,Alfred,
Paste,Paste,
Ditto,Ditto,
ClipClip,ClipClip,
CopyQ,CopyQ,
Win+V,Win+V,
http,HTTP,
HTTPS,HTTPS,
FTP,FTP,
API,API,
Pin the Tail on the Donkey,贴尾巴游戏,
scripts,脚本,
MacOS,macOS,
cross-platform,跨平台,
web requests,网络请求,
security measures,安全措施,
editor,编辑器,
search process,搜索过程,
Superwhisper,Superwhisper,
dictation tool,语音输入工具,
transcription,转录,
context engineering,上下文工程,
AI collaboration,人工智能协作,
scrapbook,剪贴簿,
context overload,上下文过载,
context,上下文,
AI Sous Chef’s Clipboard,人工智能厨师剪贴板,
digital clipboards,数字剪贴板,
orders,订单,
instructions,指令,
current progress,当前进度,
changes,更改,
clipboards,剪贴板,
physical clipboard,物理剪贴板,
data,数据,
conversation,对话,
rules,规则,
capacity,容量,
average,平均值,
queries,查询,
words,单词,
heuristic,启发式方法,
mnemonic,助记符,
Google BERT family,谷歌BERT系列,
question classification,问题分类,
intent detection,意图检测,
context windows,上下文窗口,
tokens/words,标记/单词,
characters,字符,
frontier models,前沿模型,
Llama 4,Llama 4,
clipboard-measuring contest,剪贴板测量竞赛,
error prone,易出错,
Git repositories,Git仓库,
repository,仓库,
text string,文本字符串,
GitIngest,GitIngest,
Repomix,Repomix,
files-to-prompt,files-to-prompt,
model provider,模型提供商,
system prompt,系统提示,
core instructions,核心指令,
Figure 10.1,图10.1,
AI Model’s Context Window,AI模型上下文窗口,
initial prompt,初始提示,
clipboard space,剪贴板空间,
message objects,消息对象,
binary tree,二叉树,
IDE plug-in,IDE插件,
memory store,内存存储,
important principles,重要原则,
conversation object,对话对象,
token allowance,令牌配额,
cumulative token costs,累积令牌成本,
conversation history,对话历史,
painter,画家,
fence sections,栅栏部分,
painted fence,已涂漆的栅栏,
insidious cost,隐蔽成本,
Fiction.liveBench eval,Fiction.liveBench评估,
reason across,推理跨越,
Chapter 2,第二章,
Chapter 16,第十六章,
quick follow-up question,快速后续问题,
context culling,上下文清除,
context curation,上下文编纂,
save game,保存游戏,
checkpointing feature,检查点功能,
unwanted context,不想要的上下文,
bad path,错误路径,
rewind,回放,
future self,未来的自己,
wallet,钱包,
gluten allergies,严重麸质过敏,
kitchen,厨房,
AI context windows,AI上下文窗口,
context fills up,上下文填满,
research,研究,
capital LETTERS,大写字母,
chatbot,聊天机器人,
Alice,Alice,
Boston,波士顿,
blue Lexus,蓝色雷克萨斯,
Claude Sonnet,Claude Sonnet,
context window limit,上下文窗口限制,
chef's clipboard,厨师夹板,
input context window,输入上下文窗口,
capacity calculation,容量计算,
hand back,反馈,
output context window,输出上下文窗口,
Gemini 2.5 Pro,Gemini 2.5 Pro,
culinary projects,烹饪项目,
Simon Willison,Simon Willison,
web development,网页开发,
open-source software,开源软件,
data journalism,数据新闻学,
in-context learning,上下文学习,
database schemas,数据库模式,
sample data,示例数据,
API documentation,API 文档,
third-party services,第三方服务,
build and dependency files,构建和依赖文件,
Andrej Karpathy,安德烈·卡帕西,
source files,源文件,
files-to-prompt utility,文件到提示工具,
context management principles,上下文管理原则,
context management,上下文管理,
large-scale refactoring,大规模重构,
existing conventions,现有约定,
whole task graph,整个任务图,
context pieces,上下文片段,
recipe book,食谱,
kitchen’s style,厨房风格,
retrieval-augmented generation,检索增强生成,
Unix tools,Unix 工具,
grep,grep,
cat,cat,
sed,sed,
RAG,检索增强生成,
Boris Cherny,Boris Cherny,
Agentic search,代理搜索,
cutting corners,走捷径,
subpar work,次品工作,
Token vocabularies,标记词汇表,
Llama 2,Llama 2,
GPT-4o,GPT-4o,
functional programming,函数式编程,
Claude Artifacts,Claude Artifacts,
Gemini Canvas,Gemini Canvas,
CHAPTER 11,第11章,
HACKING,HACKING,
REWARD FUNCTION,奖励函数,
LIMITATIONS,限制,
ELEPHANT IN THE ROOM,房间里的大象,
COMPLETION,完成,
QUALITY STANDARDS,质量标准,
TECHNICAL DEBT,技术债务,
INTUITION,直觉,
EXCELLENCE,卓越,
SYSTEMATIC APPROACHES,系统方法,
CRITICAL FUNCTIONALITY,关键功能,
WORKING SOLUTIONS,工作解决方案,
UNFINISHED,未完成,
INCOMPLETE WORK,不完整的工作,
UNMAINTAINABLE,不可维护的,
IMMEDIATE GRATIFICATION,即时的满足感,
WORKING CODE,工作代码,
QUALITY ISSUES,质量问题,
DEARLY,昂贵地,
PRACTICAL TECHNIQUES,实用技术,
RUSHING THROUGH TASKS,草率完成任务,
BARE-MINIMUM STANDARDS,最低标准,
REQUIRED,需要,
litterbug,乱丢垃圾者,
slob,邋遢的人,
Baby-Counting,婴儿计数问题,
AI cheating,AI作弊,
burning house,燃烧的房子,
seven babies,七个婴儿,
soware developers,软件开发者,
unpredictability,不可预测性,
unrelated bugs,无关的bug,
cleanup code,清理代码,
refactor,重构,
critical code,关键代码,
important test cases,重要的测试用例,
happy path logic,快乐路径逻辑,
error cases,错误情况,
REPL session,REPL会话,
namespace,命名空间,
IntelliJ’s Local History log,IntelliJ的本地历史记录日志,
counting your babies,数你的孩子,
code diffs,代码差异,
mitigations,缓解措施,
Cardboard Mu-n Problem,纸板Mun问题,
hardcoded values,硬编码值,
muffins,松饼,
cardboard,纸板,
cardboard muffin problem,纸板松饼问题,
Claude 4 models,Claude 4 模型,
Half-Assing Problem,半心半意问题,
baby-counting problem,婴儿计数问题,
mocking,模拟,
data structure,数据结构,
redirection URL,重定向URL,
media types,媒体类型,
Blaise Pascal,Blaise Pascal,
HTTP call,HTTP调用,
dependency,依赖,
canonical method,规范方法,
return value,返回值,
optimal size,最优大小,
context space,上下文空间,
Google Secrets Manager,Google Secrets Manager,
logging,日志记录,
front-end program,前端程序,
try-catch blocks,try-catch块,
exception,异常,
marathon,马拉松,
console,控制台,
kitchen standards,厨房标准,
world-class techniques,世界级技术,
natural disaster,自然灾害,
digital partners,数字伙伴,
Key practices,关键实践,
count your babies,数你的孩子,
cardboard muffins,纸杯蛋糕,
underlying implementation,底层实现,
cleanup,清理,
AI paradox,AI悖论,
encyclopedic knowledge,百科全书式知识,
bare-minimum implementations,最低限度实现,
reward-function hijacking,奖励函数劫持,
full potential,全部潜力,
IntelliJ,IntelliJ,
Local History snapshots,本地历史快照,
recovery techniques,恢复技术,
Mark Twain,马克·吐温,
systemic weaknesses,系统性弱点,
task graphs,任务图,
tracer bullets,追踪弹,
parallel development streams,并行开发流,
strategic oversight,战略监督,
tactical execution,战术执行,
Steve’s,Steve的,
senior colleagues,资深同事,
production setting,生产环境,
GPS,GPS,
global authentication system,全球身份验证系统,
distributed cache,分布式缓存,
eventual consistency,最终一致性,
Steve’s friends,Steve的朋友,
system architecture,系统架构,
refactoring,重构,
module,模块,
network topology,网络拓扑,
corner-cutting tendencies,走捷径的倾向,
robotic collaborators,机器人协作伙伴,
write/run/debug loop,编写/运行/调试循环,
AI skeptics,AI怀疑者,
hands-on experience,实际操作经验,
digital teammates,数字队友,
Amp,Amp,
Slack channel,Slack频道,
Emi,Emi,
autonomous coding agent,自主编码代理,
early 2025,2025年初,
Sourcegraph colleague,Sourcegraph同事,
full convert,完全转变,
aha moment,顿悟时刻,
highly talented engineering peers,非常有才华的工程同行,
enterprise devs,企业开发者,
10x multiplier,10倍乘数,
AI progress,AI进展,
Co-Intelligence,共智,
Wharton professor,沃顿商学院教授,
jagged frontier,锯齿前沿,
work with AI,与AI合作,
hands-on exploration,实际探索,
discovery,发现,
real magic,真正的魔法,
pitfalls,陷阱,
bad experiences,不良体验,
ingerspitzengefuhl,ingerspitzengefuhl,
hundreds of hours,数百小时,
Dr. Ethan Mollick,Ethan Mollick博士,
programming partner,编程伙伴,
Hacker News,Hacker News,
cruise control,巡航控制,
motorhomes/RVs,房车/旅行拖车,
developer loops,开发者循环,
Your Kitchen,您的厨房,
AI Robots,AI机器人,
sauté,煎,
grill,烤,
braise,炖,
AI-coding assistant,AI编码助手,
banner component,横幅组件,
external service,外部服务,
cost overrun,成本超支,
accountability,问责制,
organizational learnings,组织学习,
guardrails,安全栏,
security-sensitive,安全敏感,
performance-critical,性能关键,
absolute correctness,绝对正确,
online launch checklist,在线发布清单,
internal teams,内部团队,
services,服务,
complex tasks,复杂任务,
AI coding demos,人工智能编码演示,
one-shot wonder,一次性奇迹,
vague goals,模糊的目标,
clear specifications,清晰的规格说明,
big problems,大问题,
manageable pieces,可管理的部分,
hierarchical roadmap,分层路线图,
complex dinner party,复杂的晚宴,
course categories,菜系分类,
appetizers,开胃菜,
mains,主菜,
desserts,甜点,
sauces,酱料,
garnishes,装饰,
plating elements,装盘元素,
recipes,食谱,
timing,时间安排,
sourcing ingredients,采购原料,
Gene’s video excerpt generator,Gene的视频摘录生成器,
extract video,提取视频,
transform transcript,转换文本,
generate captions,生成字幕,
e-commerce platform,电子商务平台,
charcuterie hobbyists,腌制肉类爱好者,
homegrown charcuterie marketplace,本土腌制肉类市场,
Figure 12.1,图12.1,
Web Back end,Web后端,
Custom charcuterie,定制熟食,
photo uploads,照片上传,
Product catalog,产品目录,
Transport and fulfillment,运输和履行,
Health board certifications,健康董事会认证,
CI/CD Pipeline,CI/CD流水线,
Build and test automation,构建和测试自动化,
Docker configuration,Docker配置,
Deployment automation,部署自动化,
Provisioning,提供,
Cloud infrastructure,云基础设施,
Database infrastructure,数据库基础设施,
Backup and recovery,备份和恢复,
Example Large Project Task Graph,示例大型项目任务图,
AI Handling,AI处理,
Description 2,描述2,
senior developers,资深开发者,
tree,树,
success criteria,成功标准,
democratized,民主化,
non-technical roles,非技术角色,
contribute directly,直接贡献,
coordinators,协调者,
reviewers,审阅者,
technical workforce,技术团队,
system,系统,
boundaries,边界,
burndown charts,燃尽图,
AI-assisted projects,人工智能辅助项目,
incremental plan,增量计划,
structured practices,结构化实践,
production quality solution,生产质量解决方案,
Tracer Bullet Principle,弹道轨迹原则,
tracer bullet,弹道轨迹,
functionalities,功能,
master chefs,大师级厨师,
ingredient prep,原料准备,
final plating,最终摆盘,
execution order,执行顺序,
to-do application,待办事项应用,
Add Task,添加任务,
data processing pipeline,数据处理管道,
data format,数据格式,
ingestion,摄取,
transformation,转换,
storage,存储,
basic visualization,基本可视化,
implementation patterns,实现模式,
modular interfaces,模块化接口,
user capability,用户能力,
"minimum, yet complete",最小且完整,
Gradle Conversion,Gradle 转换,
vibe coding pairing session,感觉编码配对会话,
Google Cloud Platform,Google Cloud Platform,
cloud VM instances,云虚拟机实例,
code and content builds,代码和内容构建,
player accounts,玩家账户,
scaffolding,脚手架,
core services,核心服务,
independent subcommands,独立子命令,
similar interfaces,相似接口,
main(),main(),
CLI invocation,命令行调用,
Java virtual machine,Java虚拟机,
JVM ecosystem,JVM生态系统,
Ruby MySQL support,Ruby MySQL支持,
admin tool,管理工具,
admin command,管理命令,
shared base class,共享基类,
utilities,实用工具,
Figure 12.2,图12.2,
sandbox,沙盒,
staging environment,测试环境,
networking,网络,
shell-escaping issues,shell转义问题,
build system,构建系统,
Gradle,Gradle,
build automation tool,构建自动化工具,
Rake,Rake,
npm scripts,npm脚本,
launcher,启动器,
Kotlin code,Kotlin代码,
dependencies,依赖关系,
program,程序,
log stuff,日志记录,
Ruby script,Ruby脚本,
Kotlin application,Kotlin应用程序,
critical path,关键路径,
fallback,备选方案,
session,会话,
minimal Gradle configuration,最小化Gradle配置,
Hello World,Hello World,
command-line argument parser,命令行参数解析器,
submodule,子模块,
technology,技术,
effort,工作量,
software projects,软件项目,
predicting,预测,
frustration,挫败感,
super-fast AI,超快人工智能,
Adrian Cockcroft,Adrian Cockcroft,
Netﬂix,Netflix,
cloud migration journey,云迁移之旅,
millions of dollars,数百万美元,
timelines,时间表,
shiny new car,闪亮的新车,
AI modality,AI模式,
speed gauges,速度计,
Agile community,敏捷社区,
estimates,估计,
oven’s heat,烤箱热度,
Ruby-to- Kotlin conversion,Ruby到Kotlin的转换,
build configuration,构建配置,
AI hallucinated APIs,AI产生的API,
human-like AI partners,类似人类的AI伙伴,
rewriting that function,重写那个函数,
different pattern,不同的模式,
Flutter,Flutter,
ported,移植,
Steve’s Gradle speed bump,Steve的Gradle速度障碍,
straightforward Ruby-to- Kotlin conversion,直接的Ruby到Kotlin的转换,
build conﬁguration,构建配置,
inexplicable blindness,无法解释的盲点,
two-minute task,两分钟的任务,
Coddle Your AI,溺爱你的AI,
psychological barrier,心理障碍,
human-like,类似人类,
superhuman amounts of work,超人类的工作量,
class,类,
port,移植,
app,应用程序,
complaints,抱怨,
quit in frustration,因沮丧而辞职,
indecision,犹豫不决,
jobs at a better kitchen,更好的厨房的工作,
add,添加,
monthly bill,月度账单,
transactionally,交易性地,
Monthly plans,月度计划,
rate limits,速率限制,
AI inference costs,AI推理成本,
Dopamine Trap,多巴胺陷阱,
payout,回报,
intermittent reinforcement schedule,间歇性强化日程,
addictive,上瘾的,
late-night testing odyssey,深夜测试之旅,
retroactive unit and integration tests,事后单元和集成测试,
writer’s workbench tool,写作工作台工具,
accumulated features,累积的功能,
sprint,冲刺,
Gene and Steve,Gene 和 Steve,
important functionality,重要功能,
dopamine,多巴胺,
monkey patching,猴子补丁技术,
adrenaline,肾上腺素,
slot-machine dynamic,老虎机动态,
development team,开发团队,
development organization,开发组织,
hands-on practice,实际操作练习,
intuitions,直觉,
goalposts,目标点,
model release,模型发布,
Grove’s delegation framework,Grove的委派框架,
AI problems,AI问题,
half-assing,草率完成,
litterbug behavior,乱丢垃圾的行为,
Apollo space program,美国阿波罗太空计划,
NASA,NASA,
radio communication,无线电通信,
Mission Control,任务控制中心,
astronaut,宇航员,
training or replacement crew,训练或替换机组人员,
charts,图表,
ight simulators,光线模拟器,
Black Ships,黑船,
Apollo program,阿波罗计划,
delegate,代表,
captain,船长,
AI coding agents,AI编码代理,
previous interactions,之前的交互,
attention,注意力,
written plans,书面计划,
long-term memory,长期记忆,
intentions,意图,
human and AI minds,人和AI的思维,
output,输出,
pass,通道,
Michelin star standards,米其林星级标准,
human apprentice,人类学徒,
unexpected bill,意外账单,
runaway AI process,失控的AI进程,
toque,厨师帽,
review,审查,
validate,验证,
volume,数量,
options,选项,
team lead,团队领导,
orchestrating,指挥,
multiple AI agents,多个AI代理,
parallel development,并行开发,
change integration,变更集成,
standard setting,标准设置,
mechanics,机制,
practical,实际,
real-world practices,现实世界的实践,
inner,内部,
middle,中间,
outer,外部,
development loops,开发循环,
day-to-day interactions,日常互动,
coding sessions,编码会话,
project momentum,项目动力,
ambitious goals,雄心勃勃的目标,
German term,德语术语,
ngertip feeling,指尖感觉,
situational awareness,情境意识,
tact,机智,
social interactions,社交互动,
Christoph Neumann,克里斯托夫·诺伊曼,
Nate Jones,内特·琼斯,
Functional Design in Clojure,Clojure中的函数式设计,
podcast,播客,
LOC,代码行数,
cheaper AI models,更便宜的AI模型,
current level,当前水平,
home systems,家庭系统,
prevaricates,拖延,
misrepresents,歪曲,
Chapter 10,第10章,
single agent,单个代理,
multitasking,多任务处理,
professional kitchen,专业厨房,
different timescales,不同时间尺度,
chopping vegetables,切菜,
planning next week’s menu,规划下周菜单,
fast inner loop,快速内循环,
slower middle loop,较慢的中循环,
long-running outer loop,长期运行的外循环,
loops,循环,
"inner, middle, and outer",内、中、外,
traditional “inner and outer development loop”,传统的“内和外开发循环”,
compile/test/run,编译/测试/运行,
integrate/deploy,集成/部署,
weekly milestones,每周里程碑,
long-term objectives,长期目标,
quick answers,快速回答,
complex development,复杂开发,
three loops,三个循环,
timeframes,时间段,
"preventive, detective, and corrective controls",预防、侦查和纠正控制,
potential problems,潜在问题,
vibe coding with AI,使用 AI 进行 Vibe 编码,
huge array of tools,大量工具,
specialized tools,专用工具,
active team member,活跃团队成员,
existing systems,现有系统,
Chapter 13,第13章,
Navigating the Cambrian Explosion of Developer Tools,导航开发者工具的寒武纪大爆发,
Chapter 14,第14章,
The Inner Loop,内循环,
fast-paced,快速,
quick instructions,快速指令,
instant feedback,即时反馈,
Middle Loop,中循环,
chefs,厨师,
ingredients,原料,
service,服务,
work handoffs,工作交接,
Outer Loop,外循环,
menu planning,菜单规划,
kitchen improvement,厨房改进,
tactical coding,战术编码,
work flow automation,工作流程自动化,
software industry,软件行业,
inner and outer loop,内循环和外循环,
dedicated coding agents,专用编码代理,
toolchain,工具链,
Emacs,Emacs,
game’s UI,游戏用户界面,
call for presentations,征召演讲,
CFP,征召演讲,
Language Server Protocol,语言服务器协议,
person-years,人年,
cloud,云,
code-search systems,代码搜索系统,
refactoring tools,重构工具,
boilerplate,模板代码,
Chatbots,聊天机器人,
iPad Pro,iPad Pro,
Voice Mode,语音模式,
writer’s workbench,作家的工作台,
candidate dras,候选草稿,
HashMap,HashMap,
agent orchestration,代理编排,
custom pasta maker,定制意面机,
specialized training,专业培训,
Anthropic’s Model Context Protocol,Anthropic的模型上下文协议,
on-the-job-training,在职培训,
remote-control system,远程控制系统,
AI agent,AI代理,
data source,数据源,
tool output,工具输出,
game client UI,游戏客户端用户界面,
"game, Wyvern",游戏，巨龙,
web browser interactions,网络浏览器交互,
CSS selector,CSS选择器,
HTML DOM element,HTML DOM元素,
MCP Technical Implementation,MCP技术实现,
Kevin Scott,Kevin Scott,
MCP Architecture,MCP架构,
MCP client,MCP客户端,
MCP servers,MCP服务器,
Claude Desktop,Claude桌面应用,
client,客户端,
Postgres,Postgres,
Zoom,Zoom,
Cloud services,云服务,
Sentry,Sentry,
remote procedure call,远程过程调用,
JSON-RPC 2.0,JSON-RPC 2.0,
WebSocket,WebSocket,
back-end,后端,
jsonrpc,jsonrpc,
id,request-id,
RPC,远程过程调用,
fetch_weather,fetch_weather,
response-id,response-id,
vocabulary,词汇表,
SDK,软件开发工具包,
list_tools,list_tools,
fetch_weather(date),fetch_weather(日期),
tool definitions,工具定义,
type annotations,类型注解,
Java Servlet,Java Servlet,
ModelContextProtocol.io,ModelContextProtocol.io,
weather service,天气服务,
weather report,天气报告,
weather alerts,天气警报,
output format,输出格式,
world,世界,
robust validation and verification processes,稳健的验证和验证流程,
programming committee call,编程委员会会议,
test case,测试用例,
original source code,原始源代码,
null pointer exception error,空指针异常错误,
AI change,AI 更改,
issue,问题,
enterprise-scale code search,企业级代码搜索,
correct solutions,正确解决方案,
Google’s A2A (Agent to Agent) Protocol,谷歌的 A2A（代理到代理）协议,
standards wars,标准战,
inner developer loop,内部开发者循环,
Captain Jack Aubrey,杰克·奥布里船长,
traditional manual coding,传统手动编码,
compile,编译,
run,运行,
test,测试,
debug,调试,
Figure 14.1,图14.1,
three different timescales,三个不同时间尺度,
seconds to minutes,秒到分钟,
hours to days,小时到天,
weeks to months,周到月,
Figure 14.2,图14.2,
Figure,图,
Developer Loop Timescales,开发者循环时间尺度,
loop,循环,
source code,源代码,
requests,请求,
test results,测试结果,
Figure 14.3,图 14.3,
Vibe Coding Developer Loop Description,Vibe 编程开发者循环描述,
high-frequency collaboration,高频协作,
AI-digestible bites,AI可消化的片段,
sanity-saving,保持理智的,
Git maestro,Git大师,
detailed specifications,详细规格,
detection,检测,
inner loop,内部循环,
prep station,准备站,
ingredient,成分,
final dish,最终菜肴,
viscerally,直观地,
"small, frequent interactions",小而频繁的交互,
course-corrects,纠偏,
prevention-detection-correction cycle,预防-检测-纠正周期,
"fast, focused work flow",快速、专注的工作流程,
safety net,安全网,
recovery systems,恢复系统,
execute at scale,大规模执行,
risk,风险,
quality gates,质量门,
comprehensive tests,全面的测试,
advanced Git mastery,高级Git掌握,
prevention practices,预防实践,
vibe coding portfolio,感觉编码投资组合,
prevention work flow,预防工作流程,
ambitious and fun projects,雄心勃勃且有趣的项目,
checkpoints,检查点,
commit messages,提交信息,
Linux kernel,Linux 内核,
